title,year,gross_2013,budget_2013,roi,binary,clean_test,imdb,test,budget,domgross,intgross,code,domgross_2013,intgross_2013,period_code,decade_code
Last Vegas,2013,176828334,28000000,6.315297642857143,FAIL,notalk,tt1204975,notalk,28000000,63914167,112914167,2013FAIL,63914167,112914167,1,1
Lee Daniels' The Butler,2013,268145524,30000000,8.938184133333333,PASS,ok,tt1327773,ok,30000000,116632095,151513429,2013PASS,116632095,151513429,1,1
Machete Kills,2013,17416322,2000000,8.708161,PASS,ok,tt2002718,ok,2000000,8008161,9408161,2013PASS,8008161,9408161,1,1
Mama,2013,219669433,15000000,14.644628866666666,PASS,ok,tt2023587,ok,15000000,71628180,148041253,2013PASS,71628180,148041253,1,1
Man of Steel,2013,979045036,225000000,4.351311271111111,PASS,ok,tt0770828,ok-disagree,225000000,291045518,687999518,2013PASS,291045518,687999518,1,1
Nebraska,2013,34965034,12000000,2.913752833333333,PASS,ok,tt1821549,ok-disagree,12000000,17482517,17482517,2013PASS,17482517,17482517,1,1
Now You See Me,2013,469447978,75000000,6.259306373333334,FAIL,notalk,tt1670345,notalk-disagree,75000000,117723989,351723989,2013FAIL,117723989,351723989,1,1
Oblivion,2013,376645218,120000000,3.13871015,FAIL,men,tt1483013,men-disagree,120000000,89107235,287537983,2013FAIL,89107235,287537983,1,1
Olympus Has Fallen,2013,249489756,70000000,3.5641393714285714,FAIL,notalk,tt2302755,notalk,70000000,98927592,150562164,2013FAIL,98927592,150562164,1,1
Oz the Great and Powerful,2013,724341992,200000000,3.62170996,PASS,ok,tt1623205,ok-disagree,200000000,234770996,489570996,2013PASS,234770996,489570996,1,1
Pacific Rim,2013,512805812,190000000,2.698977957894737,FAIL,notalk,tt1663662,notalk-disagree,190000000,101802906,411002906,2013FAIL,101802906,411002906,1,1
Pain & Gain,2013,131150582,26000000,5.044253153846154,FAIL,notalk,tt1980209,notalk,26000000,49875291,81275291,2013FAIL,49875291,81275291,1,1
Parker,2013,63963292,35000000,1.8275226285714286,PASS,ok,tt1904996,ok,35000000,17616641,46346651,2013PASS,17616641,46346651,1,1
Peeples,2013,18354130,15000000,1.2236086666666666,FAIL,dubious,tt1699755,dubious,15000000,9177065,9177065,2013FAIL,9177065,9177065,1,1
Percy Jackson: Sea of Monsters,2013,269419108,90000000,2.9935456444444446,PASS,ok,tt1854564,ok,90000000,68559554,200859554,2013PASS,68559554,200859554,1,1
Prisoners,2013,174404604,46000000,3.7914044347826086,PASS,ok,tt1392214,ok,46000000,61002302,113402302,2013PASS,61002302,113402302,1,1
R.I.P.D.,2013,112638802,130000000,0.8664523230769231,FAIL,notalk,tt0790736,notalk,130000000,33618855,79019947,2013FAIL,33618855,79019947,1,1
Red 2,2013,190425120,84000000,2.2669657142857145,PASS,ok,tt1821694,ok,84000000,53262560,137162560,2013PASS,53262560,137162560,1,1
Riddick,2013,134450270,38000000,3.538165,FAIL,notalk,tt1411250,notalk-disagree,38000000,42025135,92425135,2013FAIL,42025135,92425135,1,1
Runner Runner,2013,81933292,30000000,2.731109733333333,FAIL,nowomen,tt2364841,nowomen,30000000,19316646,62616646,2013FAIL,19316646,62616646,1,1
Rush,2013,69995248,38000000,1.8419802105263159,FAIL,notalk,tt1979320,notalk,38000000,26947624,43047624,2013FAIL,26947624,43047624,1,1
Safe Haven,2013,165342743,28000000,5.905097964285714,PASS,ok,tt1702439,ok,28000000,71399120,93943623,2013PASS,71399120,93943623,1,1
Saving Mr. Banks,2013,183568664,35000000,5.244818971428572,PASS,ok,tt2140373,ok,35000000,82834332,100734332,2013PASS,82834332,100734332,1,1
Side Effects,2013,92461120,30000000,3.0820373333333335,PASS,ok,tt2053463,ok,30000000,32172757,60288363,2013PASS,32172757,60288363,1,1
Star Trek Into Darkness,2013,695757322,190000000,3.661880642105263,FAIL,notalk,tt1408101,notalk-disagree,190000000,228778661,466978661,2013FAIL,228778661,466978661,1,1
Texas Chainsaw 3D,2013,73435262,20000000,3.6717631,PASS,ok,tt1572315,ok-disagree,20000000,34341945,39093317,2013PASS,34341945,39093317,1,1
The Big Wedding,2013,57590069,32500000,1.7720021230769232,PASS,ok,tt1931435,ok,32500000,21819348,35770721,2013PASS,21819348,35770721,1,1
The Book Thief,2013,83391050,19000000,4.389002631578947,PASS,ok,tt0816442,ok,19000000,21345525,62045525,2013PASS,21345525,62045525,1,1
The Call,2013,110811146,13000000,8.523934307692308,PASS,ok,tt1911644,ok,13000000,51872378,58938768,2013PASS,51872378,58938768,1,1
The Conjuring,2013,455400282,20000000,22.7700141,PASS,ok,tt1457767,ok,20000000,137400141,318000141,2013PASS,137400141,318000141,1,1
The Counselor,2013,87347430,25000000,3.4938972,PASS,ok,tt2193215,ok,25000000,16973715,70373715,2013PASS,16973715,70373715,1,1
The Croods,2013,760236850,135000000,5.631384074074074,FAIL,men,tt0481499,men-disagree,135000000,187168425,573068425,2013FAIL,187168425,573068425,1,1
The Family,2013,87997352,30000000,2.9332450666666667,FAIL,men,tt2404311,men,30000000,36918811,51078541,2013FAIL,36918811,51078541,1,1
The Fifth Estate,2013,9408344,26000000,0.36185938461538464,FAIL,notalk,tt1837703,notalk,26000000,3254172,6154172,2013FAIL,3254172,6154172,1,1
The Frozen Ground,2013,NA,19200000,NA,FAIL,nowomen,tt2005374,nowomen-disagree,19200000,NA,NA,2013FAIL,NA,NA,1,1
The Great Gatsby,2013,495880838,190000000,2.609899147368421,FAIL,dubious,tt1343092,dubious,190000000,144840419,351040419,2013FAIL,144840419,351040419,1,1
The Hangover part 3,2013,474200144,103000000,4.603884893203883,FAIL,men,tt1951261,men,103000000,112200072,362000072,2013FAIL,112200072,362000072,1,1
The Heat,2013,390363174,43000000,9.07821334883721,PASS,ok,tt2404463,ok,43000000,159581587,230781587,2013PASS,159581587,230781587,1,1
The Hobbit: The Desolation of Smaug,2013,1194795032,250000000,4.779180128,FAIL,notalk,tt1170358,notalk-disagree,250000000,257397516,937397516,2013FAIL,257397516,937397516,1,1
The Host,2013,84812085,50000000,1.6962417,FAIL,dubious,tt1517260,dubious-disagree,50000000,26623701,58188384,2013FAIL,26623701,58188384,1,1
The Hunger Games: Catching Fire,2013,1281176520,130000000,9.855204,PASS,ok,tt1951264,ok,130000000,424088260,857088260,2013PASS,424088260,857088260,1,1
The Incredible Burt Wonderstone,2013,46793838,32000000,1.4623074375,FAIL,notalk,tt0790628,notalk,32000000,22537881,24255957,2013FAIL,22537881,24255957,1,1
The Internship,2013,138345528,58000000,2.385267724137931,FAIL,notalk,tt2234155,notalk,58000000,44672764,93672764,2013FAIL,44672764,93672764,1,1
The Last Exorcism Part II,2013,33720539,4000000,8.43013475,PASS,ok,tt2034139,ok,4000000,15179303,18541236,2013PASS,15179303,18541236,1,1
The Lone Ranger,2013,349279820,275000000,1.2701084363636364,FAIL,notalk,tt1210819,notalk,275000000,89289910,259989910,2013FAIL,89289910,259989910,1,1
The Mortal Instruments: City of Bones,2013,107130988,60000000,1.7855164666666667,PASS,ok,tt1538403,ok-disagree,60000000,31165421,75965567,2013PASS,31165421,75965567,1,1
The Purge,2013,155573656,3000000,51.857885333333336,FAIL,dubious,tt2184339,dubious,3000000,64473115,91100541,2013FAIL,64473115,91100541,1,1
The Smurfs 2,2013,419563625,110000000,3.8142147727272726,PASS,ok,tt2017020,ok,110000000,71017784,348545841,2013PASS,71017784,348545841,1,1
The To Do List,2013,6983338,1500000,4.655558666666667,PASS,ok,tt1758795,ok,1500000,3491669,3491669,2013PASS,3491669,3491669,1,1
The Way Way Back,2013,47664133,5000000,9.5328266,PASS,ok,tt1727388,ok-disagree,5000000,21502690,26161443,2013PASS,21502690,26161443,1,1
The Wolf of Wall Street,2013,481405714,100000000,4.81405714,FAIL,notalk,tt0993846,notalk-disagree,100000000,115702857,365702857,2013FAIL,115702857,365702857,1,1
The Wolverine,2013,549013704,115000000,4.774032208695652,PASS,ok,tt1430132,ok,115000000,132556852,416456852,2013PASS,132556852,416456852,1,1
The World's End,2013,72583672,20000000,3.6291836,FAIL,men,tt1213663,men-disagree,20000000,26004851,46578821,2013FAIL,26004851,46578821,1,1
This Is the End,2013,227764466,32000000,7.1176395625,FAIL,notalk,tt1245492,notalk,32000000,101470202,126294264,2013FAIL,101470202,126294264,1,1
Thor: The Dark World,2013,836349580,170000000,4.919703411764706,FAIL,dubious,tt1981115,dubious-disagree,170000000,204674790,631674790,2013FAIL,204674790,631674790,1,1
Trance,2013,24916645,16000000,1.5572903125,FAIL,nowomen,tt1924429,nowomen,16000000,2322593,22594052,2013FAIL,2322593,22594052,1,1
Turbo,2013,366856260,135000000,2.7174537777777776,FAIL,dubious,tt1860353,dubious-disagree,135000000,83028130,283828130,2013FAIL,83028130,283828130,1,1
Warm Bodies,2013,183024272,30000000,6.100809066666667,FAIL,men,tt1588173,men-disagree,30000000,66380662,116643610,2013FAIL,66380662,116643610,1,1
We're the Millers,2013,420394238,37000000,11.362006432432432,PASS,ok,tt1723121,ok,37000000,150394119,270000119,2013PASS,150394119,270000119,1,1
White House Down,2013,278544171,150000000,1.85696114,FAIL,men,tt2334879,men,150000000,73103784,205440387,2013FAIL,73103784,205440387,1,1
World War Z,2013,741919422,190000000,3.904839063157895,FAIL,dubious,tt0816711,dubious-disagree,190000000,202359711,539559711,2013FAIL,202359711,539559711,1,1
Abraham Lincoln: Vampire Hunter,2012,154872683,68488103,2.2613078215934816,FAIL,dubious,tt1611224,dubious-disagree,67500000,37519139,115119139,2012FAIL,38068365,116804318,1,1
Act of Valor,2012,154742408,12175663,12.709156618411663,FAIL,nowomen,tt1591479,nowomen,12000000,70012847,82497035,2012FAIL,71037735,83704673,1,1
Amour,2012,33132691,9841994,3.3664612069464783,FAIL,dubious,tt1602620,dubious-disagree,9700000,6738954,25915719,2012FAIL,6837603,26295088,1,1
Anna Karenina,2012,84774987,49717290,1.705140947947887,FAIL,men,tt1781769,men-disagree,49000000,12816367,70735540,2012FAIL,13003980,71771007,1,1
Argo,2012,362556940,45151416,8.029802210411297,PASS,ok,tt1024648,ok-disagree,44500000,136025503,221300694,2012PASS,138016721,224540219,1,1
Battleship,2012,374785286,212059460,1.7673594283414662,FAIL,notalk,tt1440129,notalk-disagree,209000000,65235400,304142720,2012FAIL,66190353,308594933,1,1
Beasts of the Southern Wild,2012,34371697,1826349,18.81989532121188,FAIL,dubious,tt2125435,dubious-disagree,1800000,12795746,21080058,2012FAIL,12983057,21388640,1,1
Blue Like Jazz,2012,1207456,1217566,0.9916965486881204,PASS,ok,tt1758575,ok,1200000,595018,595018,2012PASS,603728,603728,1,1
Brave,2012,803480829,187708135,4.280479527432309,PASS,ok,tt1217209,ok,185000000,237282182,554606532,2012PASS,240755653,562725176,1,1
Bullet to the Head,2012,23388782,55805121,0.41911533531125217,FAIL,nowomen,tt1308729,nowomen,55000000,9489829,13561515,2012FAIL,9628746,13760036,1,1
Chernobyl Diaries,2012,57336881,1014639,56.50963643226803,FAIL,notalk,tt1991245,notalk,1000000,18119640,38390020,2012FAIL,18384886,38951995,1,1
Chronicle,2012,194455836,12175663,15.970862202740006,FAIL,notalk,tt1706593,notalk,12000000,64575175,127075175,2012FAIL,65520463,128935373,1,1
Cloud Atlas,2012,155368393,103493134,1.5012434834565933,PASS,ok,tt1371111,ok,102000000,27108272,126018564,2012PASS,27505098,127863295,1,1
Contraband,2012,167349264,25365964,6.597394209027499,PASS,ok,tt1524137,ok,25000000,66528000,98406855,2012PASS,67501874,99847390,1,1
Django Unchained,2012,596789221,101463857,5.881791197825251,FAIL,notalk,tt1853728,notalk-disagree,100000000,162805434,425373688,2012FAIL,165188672,431600549,1,1
Flight,2012,259285559,31453796,8.243378923167175,FAIL,dubious,tt1907668,dubious-disagree,31000000,93772375,161772375,2012FAIL,95145068,164140491,1,1
Frankenweenie,2012,118143070,39570904,2.9856045239704403,FAIL,nowomen,tt1142977,nowomen-disagree,39000000,35287788,81150788,2012FAIL,35804351,82338719,1,1
Hannibal,2012,522734226,88273555,5.921753417543907,PASS,ok,tt2243973,ok,87000000,165092266,350100280,2012PASS,167508980,355225246,1,1
Hotel Transylvania,2012,514964647,86244278,5.971000731202133,PASS,ok,tt0837562,ok,85000000,148313048,359222014,2012PASS,150484138,364480509,1,1
Jack Reacher,2012,301795589,60878314,4.957357869667678,FAIL,notalk,tt0790724,notalk,60000000,80070736,217370736,2012FAIL,81242857,220552732,1,1
Jagten,2012,1394488,3500503,0.39836789170013565,FAIL,men,tt2106476,men,3450000,687185,687185,2012FAIL,697244,697244,1,1
John Carter,2012,361045719,279025606,1.2939519213874586,PASS,ok,tt0401729,ok-disagree,275000000,73058679,282778100,2012PASS,74128153,286917566,1,1
Killing Them Softly,2012,52948218,15219578,3.478954409905452,FAIL,nowomen,tt1764234,nowomen,15000000,14945541,37238774,2012FAIL,15164322,37783896,1,1
Les Miserables,2012,599481607,65951507,9.089733264169384,PASS,ok,tt1707386,ok-disagree,65000000,148809770,442022894,2012PASS,150988132,448493475,1,1
Life of Pi,2012,743703733,121756628,6.108117029982138,FAIL,notalk,tt0454876,notalk-disagree,120000000,124987022,607987022,2012FAIL,126816653,616887080,1,1
Lincoln,2012,461872538,65951507,7.003214316239961,PASS,ok,tt0443272,ok-disagree,65000000,182207973,273000960,2012PASS,184875236,276997302,1,1
Madagascar 3: Europe's Most Wanted,2012,977414270,147122592,6.643536228616744,FAIL,men,tt1277953,men-disagree,145000000,216391482,746921271,2012FAIL,219559143,757855127,1,1
Men in Black III,2012,815609102,218147292,3.7388000305775053,FAIL,notalk,tt1409024,notalk,215000000,179020854,624821154,2012FAIL,181641463,633967639,1,1
Mirror Mirror,2012,236965954,86244278,2.7476136329879184,FAIL,dubious,tt1667353,dubious,85000000,64935167,168611991,2012FAIL,65885725,171080229,1,1
Moonrise Kingdom,2012,111128220,16234217,6.845308276956012,PASS,ok,tt1748122,ok,16000000,45512466,64012466,2012PASS,46178703,64949517,1,1
Much Ado About Nothing,2012,45758856,8117109,5.6373341789546005,FAIL,dubious,tt2094064,dubious-disagree,8000000,22549338,22549338,2012FAIL,22879428,22879428,1,1
One for the Money,2012,63528294,42614820,1.4907558919643449,PASS,ok,tt1598828,ok,42000000,26414527,36197221,2012PASS,26801198,36727096,1,1
Paranormal Activity 4,2012,199573498,5073193,39.338834142521286,PASS,ok,tt2109184,ok,5000000,53900335,142793842,2012PASS,54689359,144884139,1,1
ParaNorman,2012,166565159,60878314,2.736034361924018,FAIL,notalk,tt1623288,notalk-disagree,60000000,56003051,108159011,2012FAIL,56822855,109742304,1,1
Parental Guidance,2012,200326107,25365964,7.89743717210984,PASS,ok,tt1047540,ok,25000000,77267296,120168633,2012PASS,78398378,121927729,1,1
People Like Us,2012,25227552,16234217,1.5539740536916564,PASS,ok,tt1716777,ok,16000000,12431792,12431792,2012PASS,12613776,12613776,1,1
Pitch Perfect,2012,182972076,17248856,10.607780365260165,PASS,ok,tt1981677,ok,17000000,65001093,115331177,2012PASS,65952616,117019460,1,1
Premium Rush,2012,52425001,35512350,1.4762470239226635,PASS,ok,tt1547234,ok,35000000,20275446,31393201,2012PASS,20572249,31852752,1,1
Red Dawn,2012,94331894,65951507,1.430322039494867,FAIL,notalk,tt1234719,notalk-disagree,65000000,44806783,48164150,2012FAIL,45462690,48869204,1,1
Red Tails,2012,101709273,58849037,1.7283081964450837,FAIL,men,tt0485985,men,58000000,49876377,50365498,2012FAIL,50606496,51102777,1,1
Rise of the Guardians,2012,416320063,147122592,2.8297493766287096,FAIL,notalk,tt1446192,notalk-disagree,145000000,103412758,306900902,2012FAIL,104926572,311393491,1,1
Rock of Ages,2012,89934748,71024700,1.2662460805888656,PASS,ok,tt1336608,ok,70000000,38518613,50118613,2012PASS,39082470,50852278,1,1
Safe,2012,59495658,33483073,1.776887623187991,FAIL,notalk,tt1656190,notalk-disagree,33000000,17142080,41495213,2012FAIL,17393015,42102643,1,1
Safety Not Guaranteed,2012,8547463,760979,11.232193004011938,PASS,ok,tt1862079,ok-disagree,750000,4010957,4413188,2012PASS,4069672,4477791,1,1
Seven Psychopaths,2012,39080192,13697621,2.853064192679882,FAIL,notalk,tt1931533,notalk-disagree,13500000,15024049,23492318,2012FAIL,15243980,23836212,1,1
Silent Hill: Revelation 3D,2012,66433275,20292771,3.2737409297133446,PASS,ok,tt0938330,ok,20000000,17530219,47944599,2012PASS,17786836,48646439,1,1
Silver Linings Playbook,2012,364671607,21307410,17.11477870843993,PASS,ok,tt1045658,ok,21000000,132092958,227317397,2012PASS,134026609,230644998,1,1
Sinister,2012,137802842,3043916,45.271565312577614,FAIL,men,tt1922777,men,3000000,48086903,87727807,2012FAIL,48790826,89012016,1,1
Skyfall,2012,1433739447,202927713,7.065271794592196,FAIL,dubious,tt1074638,dubious-disagree,200000000,304360277,1108694081,2012FAIL,308815675,1124923772,1,1
Snow White and the Huntsman,2012,564187700,172488556,3.270870329507541,PASS,ok,tt1735898,ok,170000000,155136755,400911200,2012PASS,157407735,406779965,1,1
Sparkle,2012,49775928,10146386,4.905779062614019,PASS,ok,tt1876451,ok,10000000,24397469,24660323,2012PASS,24754613,25021315,1,1
Spring Breakers,2012,45449534,5073193,8.958763051198723,PASS,ok,tt2101441,ok,5000000,14124286,30669531,2012PASS,14331045,31118489,1,1
Step Up Revolution,2012,203563858,33483073,6.07960499921856,PASS,ok,tt1800741,ok,33000000,35074677,165552290,2012PASS,35588120,167975738,1,1
Supporting Characters,2012,9978,60878,0.16390157363908145,FAIL,men,tt1874789,men,60000,4917,4917,2012FAIL,4989,4989,1,1
Ted,2012,779354347,50731928,15.362206360460025,FAIL,men,tt1637725,men-disagree,50000000,218665740,549444574,2012FAIL,221866693,557487654,1,1
That's My Boy,2012,96379965,68488103,1.407251198065743,FAIL,notalk,tt1232200,notalk,67500000,36931089,58058367,2012FAIL,37471707,58908258,1,1
The Amazing Spider-Man,2012,1034851109,223220484,4.636004234270901,FAIL,men,tt0948470,men-disagree,220000000,262030663,757890267,2012FAIL,265866416,768984693,1,1
The Avengers,2012,73024382,60878314,1.19951386958581,FAIL,notalk,tt0848228,notalk,60000000,23385416,48585416,2012FAIL,23727745,49296637,1,1
The Dark Knight Rises,2012,1549843203,279025606,5.554483780961665,FAIL,notalk,tt1345836,notalk-disagree,275000000,448139099,1079343943,2012FAIL,454699213,1095143990,1,1
The Devil Inside,2012,157289709,1014639,155.0203658641152,PASS,ok,tt1560985,ok-disagree,1000000,53261944,101758489,2012PASS,54041622,103248087,1,1
The Dictator,2012,242528807,65951507,3.6773808216391477,FAIL,notalk,tt1645170,notalk,65000000,59650222,179379532,2012FAIL,60523416,182005391,1,1
The Expendables 2,2012,402819068,101463857,3.970074467009469,PASS,ok,tt1764651,ok-disagree,100000000,85028192,311979256,2012PASS,86272883,316546185,1,1
The Grey,2012,137909503,25365964,5.436793295141474,FAIL,nowomen,tt1601913,nowomen-disagree,25000000,51580136,84339696,2012FAIL,52335195,85574308,1,1
The Hobbit: An Unexpected Journey,2012,1336996479,253659641,5.270828554866559,FAIL,nowomen,tt0903624,nowomen-disagree,250000000,303003568,1014703568,2012FAIL,307439106,1029557373,1,1
The Hunger Games,2012,1108514330,81171085,13.656517342351652,PASS,ok,tt1392170,ok-disagree,80000000,408010692,684510692,2012PASS,413983383,694530947,1,1
The Impossible,2012,191371475,40585543,4.715262156280624,FAIL,men,tt1649419,men,40000000,19019882,169590606,2012FAIL,19298306,172073169,1,1
The Man with the Iron Fists,2012,38169876,15219578,2.507945752503782,FAIL,notalk,tt1258972,notalk,15000000,15634090,21985095,2012FAIL,15862951,22306925,1,1
The Master,2012,41969407,38048946,1.1030373088389887,FAIL,notalk,tt1560747,notalk-disagree,37500000,16247159,25116740,2012FAIL,16484994,25484413,1,1
The Pirates! Band of Misfits,2012,156363257,55805121,2.8019517599469053,FAIL,notalk,tt1430626,notalk,55000000,31051126,123056220,2012FAIL,31505670,124857587,1,1
The Place Beyond the Pines,2012,69416465,15219578,4.560998011902827,FAIL,notalk,tt1817273,notalk-disagree,15000000,21403519,47011449,2012FAIL,21716836,47699629,1,1
The Twilight Saga: Breaking Dawn - Part 2,2012,1141452937,138193773,8.259800077967334,FAIL,dubious,tt1673434,dubious-disagree,136200000,292324737,832660037,2012FAIL,296603952,844848985,1,1
The Vow,2012,327355062,8866236,36.921537166391694,PASS,ok,tt1606389,ok,8738320,125014030,197618160,2012PASS,126844056,200511006,1,1
The Watch,2012,103194830,55805121,1.8492000044225332,FAIL,men,tt1298649,men,55000000,34353000,67353000,2012FAIL,34855879,68338951,1,1
The Woman in Black,2012,185972278,15219578,12.219279535871493,FAIL,notalk,tt1596365,notalk,15000000,54333290,128955898,2012FAIL,55128651,130843627,1,1
The Words,2012,23973288,6087831,3.937903006834454,FAIL,notalk,tt1840417,notalk,6000000,11494838,12132578,2012FAIL,11663106,12310182,1,1
Think Like a Man,2012,190450022,12175663,15.641860488418578,PASS,ok,tt1621045,ok,12000000,91547205,96155124,2012PASS,92887325,97562697,1,1
To Rome With Love,2012,92380943,21814729,4.234796728393921,FAIL,men,tt1859650,men-disagree,21500000,16684352,74363777,2012FAIL,16928587,75452356,1,1
Total Recall,2012,261263307,126829821,2.0599517127758147,FAIL,notalk,tt1386703,notalk-disagree,125000000,58877969,198615996,2012FAIL,59739858,201523449,1,1
Underworld: Awakening,2012,225960992,71024700,3.1814423996159085,PASS,ok,tt1496025,ok,70000000,62321039,160379930,2012PASS,63233330,162727662,1,1
Wanderlust,2012,42054830,32975753,1.2753258432036412,PASS,ok,tt1655460,ok,32500000,17288155,24159934,2012PASS,17541229,24513601,1,1
What to Expect When You're Expecting,2012,123587448,38048946,3.248117516842648,PASS,ok,tt1586265,ok,37500000,41152203,80652203,2012PASS,41754612,81832836,1,1
